ID,image_id,confidence,class_name,x_min,y_min,x_max,y_max
0,7a13387e-cam142_20250327_162719.jpg,0.8411627411842346,passenger_car,345.803,82.0087,417.11295,142.62662
1,7a13387e-cam142_20250327_162719.jpg,0.8191800713539124,passenger_car,373.0381,51.064606,430.10486,92.967865
2,7a13387e-cam142_20250327_162719.jpg,0.772182822227478,pedestrian,219.15292,163.73438,255.08282,235.32303
3,7a13387e-cam142_20250327_162719.jpg,0.7047742605209351,passenger_car,328.43942,43.44992,361.57388,71.140076
4,7a13387e-cam142_20250327_162719.jpg,0.5441394448280334,pedestrian,1073.501,454.1465,1156.9971,547.1228
5,24b47b40-cam087_20250327_163120.jpg,0.8579826354980469,passenger_car,304.5768,151.23492,420.09012,225.5203
6,24b47b40-cam087_20250327_163120.jpg,0.8534833788871765,passenger_car,694.26996,133.63928,812.7702,187.76776
7,24b47b40-cam087_20250327_163120.jpg,0.8272462487220764,passenger_car,835.2357,133.45229,920.83875,178.77876
8,24b47b40-cam087_20250327_163120.jpg,0.8208031058311462,bus,101.94296,201.4289,965.2113,685.67957
9,24b47b40-cam087_20250327_163120.jpg,0.7841410636901855,passenger_car,927.9546,135.10133,996.5427,174.29164
10,24b47b40-cam087_20250327_163120.jpg,0.7754194736480713,passenger_car,415.1093,103.110794,466.3731,140.7418
11,24b47b40-cam087_20250327_163120.jpg,0.7681257724761963,passenger_car,96.6156,148.47128,169.75842,207.78714
12,24b47b40-cam087_20250327_163120.jpg,0.7305806279182434,passenger_car,187.94911,117.60321,232.13365,151.61676
13,24b47b40-cam087_20250327_163120.jpg,0.718092679977417,passenger_car,1119.4619,179.99745,1162.1494,213.64449
14,24b47b40-cam087_20250327_163120.jpg,0.6249110102653503,passenger_car,367.13318,79.30771,412.07336,109.03406
15,24b47b40-cam087_20250327_163120.jpg,0.6079857349395752,utility_vehicle,0.027179718,178.68993,58.17137,335.64392
16,2dfb1b96-cam141_20250324_164924.jpg,0.8889127969741821,passenger_car,1164.032,366.9024,1279.9395,490.62775
17,2dfb1b96-cam141_20250324_164924.jpg,0.8878709077835083,passenger_car,947.72766,272.95392,1107.4994,370.24823
18,2dfb1b96-cam141_20250324_164924.jpg,0.8838550448417664,passenger_car,712.38904,218.09314,886.20715,312.02332
19,2dfb1b96-cam141_20250324_164924.jpg,0.85430508852005,passenger_car,325.54236,137.93411,435.50916,186.8916
20,2dfb1b96-cam141_20250324_164924.jpg,0.8522243499755859,passenger_car,30.220219,175.2008,137.51166,230.68356
21,2dfb1b96-cam141_20250324_164924.jpg,0.8481058478355408,passenger_car,393.43335,175.91873,559.4119,246.905
22,2dfb1b96-cam141_20250324_164924.jpg,0.8451257348060608,passenger_car,589.80896,131.02982,645.9562,171.82922
23,2dfb1b96-cam141_20250324_164924.jpg,0.6950932741165161,pedestrian,524.88654,146.14636,546.60724,182.70898
24,2dfb1b96-cam141_20250324_164924.jpg,0.6608360409736633,passenger_car,567.85706,81.17001,596.29285,105.03256
25,2dfb1b96-cam141_20250324_164924.jpg,0.6576991677284241,passenger_car,622.22437,110.10333,662.52783,146.33002
26,2dfb1b96-cam141_20250324_164924.jpg,0.5536876916885376,pedestrian,375.83566,112.62384,395.5629,146.8316
27,2dfb1b96-cam141_20250324_164924.jpg,0.5340367555618286,tram,0.11431885,99.148186,162.12576,172.0008
28,2dfb1b96-cam141_20250324_164924.jpg,0.5088045001029968,pedestrian,371.38037,113.224884,392.43933,147.65958
29,2dfb1b96-cam141_20250324_164924.jpg,0.5012888312339783,pedestrian,198.31973,110.152435,218.36703,158.97995
30,433d44b0-cam103_20250324_164522.jpg,0.8958864808082581,bus,951.9054,159.09766,1134.7357,261.9602
31,433d44b0-cam103_20250324_164522.jpg,0.8657507300376892,passenger_car,437.48737,181.49747,508.62445,228.45114
32,433d44b0-cam103_20250324_164522.jpg,0.8105828166007996,passenger_car,516.66895,158.22641,583.7217,187.83429
33,433d44b0-cam103_20250324_164522.jpg,0.7918696403503418,pedestrian,164.54703,339.76968,199.70218,420.38712
34,433d44b0-cam103_20250324_164522.jpg,0.7871587872505188,passenger_car,309.0775,160.60179,361.22327,202.22816
35,433d44b0-cam103_20250324_164522.jpg,0.7819032073020935,passenger_car,706.7407,153.97818,769.6118,187.64023
36,433d44b0-cam103_20250324_164522.jpg,0.7594082951545715,passenger_car,854.16956,148.89786,884.70764,176.16928
37,433d44b0-cam103_20250324_164522.jpg,0.7521887421607971,pedestrian,167.82457,255.41895,192.95146,308.09357
38,433d44b0-cam103_20250324_164522.jpg,0.6502439379692078,pedestrian,181.09048,218.51318,200.9112,254.49799
39,433d44b0-cam103_20250324_164522.jpg,0.6290319561958313,passenger_car,794.4297,139.16652,823.1216,162.20555
40,433d44b0-cam103_20250324_164522.jpg,0.6012715697288513,passenger_car,197.16171,190.17065,228.0603,215.78876
41,bc60fda9-cam056_20250404_212135.jpg,0.8959630131721497,passenger_car,41.041046,500.91846,425.11853,720.0
42,bc60fda9-cam056_20250404_212135.jpg,0.8401362895965576,passenger_car,484.70587,93.65375,621.52423,152.9339
43,bc60fda9-cam056_20250404_212135.jpg,0.8293105363845825,passenger_car,792.34796,130.15088,875.8686,191.43518
44,bc60fda9-cam056_20250404_212135.jpg,0.7320857644081116,passenger_car,819.8097,102.83877,876.06323,137.20108
45,bc60fda9-cam056_20250404_212135.jpg,0.6193704605102539,pedestrian,1093.5242,193.98993,1120.0076,251.8728
46,bc60fda9-cam056_20250404_212135.jpg,0.5958045125007629,passenger_car,1045.4562,128.67381,1093.9095,165.70482
47,bc60fda9-cam056_20250404_212135.jpg,0.5377290844917297,passenger_car,965.2869,112.25256,1013.5982,149.14886
